model,cv_roc_auc_mean,cv_roc_auc_std,cv_average_precision_mean,cv_average_precision_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_mean,cv_f1_std,fit_time_seconds,holdout_roc_auc,holdout_pr_auc,status
ExtraTrees,0.632917132432427,0.06784219617082927,0.37535997996338477,0.12419619588052125,0.5857795957248564,0.06915477271050548,0.38803662380547355,0.09356297392654456,5.389695405960083,0.6027777777777777,0.4454487927543257,success
KNN,0.5748780231867382,0.0794397621565925,0.3749772128830938,0.10216494766520028,0.51630992686159,0.050317642933014176,0.1813299232736573,0.15271861934384962,0.13438773155212402,0.5777777777777777,0.4882871296548414,success
SVC_RBF,0.6104012728721229,0.08816219309896034,0.3688512171394802,0.13074165743449528,0.5734776820322252,0.06154022095335262,0.4088789862181204,0.08729656222472207,0.4543797969818115,0.6159722222222221,0.4028370196669842,success
HistGradientBoosting,0.5954408768128323,0.0671291665673007,0.36630503405635745,0.14228999949587914,0.5551245405596453,0.06258323936063999,0.3090232157875178,0.12619935059440224,2.790600061416626,0.5652777777777778,0.4784755199295772,success
RandomForest,0.6157179193014428,0.06429995324065828,0.3591320260528065,0.11776123672859304,0.5960038623873565,0.06454884820198674,0.38925170068027215,0.12109026980189617,8.262953996658325,0.6180555555555556,0.5451299983498495,success
XGBoost,0.6023677973423153,0.05894980631577563,0.35808312134676823,0.12787037773595122,0.5476066252697755,0.043336370319412475,0.2770319548468887,0.12122692844825587,0.9678478240966797,0.5993055555555556,0.5311449425801738,success
LightGBM,0.5848076798814701,0.05291350628108629,0.34671824095914017,0.13178572977450276,0.5518386292029943,0.04204802233926993,0.3504405651070229,0.11012673974543849,1.0837311744689941,0.5972222222222223,0.47203460317338997,success
CatBoost,0.5895029620683501,0.05300169101353301,0.3354472607392469,0.11675198052072205,0.5426906099994047,0.049879881387531626,0.3174599925828664,0.10362575937467494,4.553667306900024,0.59375,0.4175310020279629,success
LogisticRegression,0.5936869995007712,0.120652031893981,0.3247872880205154,0.1234354492642336,0.5738415325351642,0.11757194555201092,0.3934081763251787,0.15495350109882683,0.22591209411621094,0.5395833333333333,0.3333551475791563,success
GradientBoosting,0.5873851247334116,0.06362287298708855,0.3239440854418185,0.11844407475582434,0.5083113005100925,0.06149571089041733,0.22198093902732036,0.14887069345473172,2.6087236404418945,0.6263888888888889,0.5056317672701232,success
AdaBoost,0.5714313881464577,0.08874093961730598,0.2950427873122104,0.10404892712088849,0.5,0.0,0.0,0.0,3.2332422733306885,0.5784722222222222,0.3352881493506494,success
DummyPrior,0.5,0.0,0.2514447133283692,0.06510789591968513,0.5,0.0,0.0,0.0,0.14458894729614258,0.5,0.2857142857142857,success
