feature,importance_mean,importance_std
equipment,0.13257335118464186,0.032519004186622874
operator,0.042582932300761586,0.04746276585979075
hole_number,0.032210655440499183,0.03661892958561619
is_weekend,0.029486951142159767,0.04191955313540957
day_of_week,0.022047967855207302,0.03548166218508762
length_m,2.0702655693344285e-05,0.025048289507594145
best_available_diameter_mm,0.0,0.0
hole_type,0.0,0.0
diameter_deviation_mm,0.0,0.0
material,0.0,0.0
design_diameter_mm,0.0,0.0
redrill_flag,0.0,0.0
day_of_month,0.0,0.0
week_of_year,0.0,0.0
hole_row_index,-0.028678070855149194,0.021094334913562187
wet,-0.03855208874575654,0.01259564110152399
